id;typ;maszyna;operacja;nazwa_czesci;cecha;zuzycie
127;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5-2-28;600000
128;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5-3-1-51;140000
129;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5-1-5;1000000
130;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5-3-2-42;140000
131;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5-3-27;600000
132;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5-4-2-50;45000
133;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5-4-1-15;500000
134;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5-4-2-14;500000
135;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKy-5-4-31;300000
136;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5-3-53;1000000
137;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki);LKs-5-5-5-36;40000
138;RS-22312 E/VX5A1;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5-5-1-28;40000
139;RS-23022 CC;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-31;500000
140;RS-23022 CC;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-19;500000
141;RS-23022 CC;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5/1-2;1000000
142;RS-23022 CC;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5/1/2-45;250000
143;RS-23022 CC;NP-440R;Kucie - Stanowisko  I;Stempel;LKs-5/1-32C;150000
144;RS-23022 CC;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5/1/3-24;200000
145;RS-23022 CC;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-5/1-21;300000
146;RS-23022 CC;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5/1-2;1000000
147;RS-23022 CC;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5/2/1-43;250000
148;RS-23022 CC;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5/2-23;300000
149;RS-23022 CC;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5/2/2-24;150000
150;RS-23022 CC;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5/2-22;600000
151;RS-23022 CC;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5/3/1-50;150000
152;RS-23022 CC;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5/3/2-39;300000
153;RS-23022 CC;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5/3-22;600000
154;RS-23022 CC;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5/3-6;1000000
155;RS-23022 CC;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5/3-51;300000
